domain_name,chromosomes
7tm_1,"13,14,17,2,3,X"
Ank_2,"1,10,19,2,6,8,9,X"
Bromodomain,"1,14,16,19,22,3,7,9"
BTB,"11,17,19,22,3"
bZIP_1,"1,11,12,2,7"
C1_1,"14,16,19,3,7,X"
Cadherin,"10,11,16,4,5,8"
DEAD,"11,14,15,17,3,8,X"
EGF,"1,11,2,4,8,9"
EGF_CA,"1,2,3,4,9"
Ets,"1,11,12,17,2,21,3,7,X"
fn3,"1,12,18,20,3,5,6,9"
Forkhead,"11,13,14,3,6,X"
HATPase_c_3,"14,2,3,6,7"
hEGF,"1,11,12,4,9"
Helicase_C,"11,12,14,15,17,19,3,8,X"
HLH,"1,11,14,15,19,2,21,3,6,8,9,X"
HMG_box,"10,13,17,19,2,3,4"
Homeodomain,"1,10,12,13,14,16,2,22,4,5,6,7"
Hormone_recep,"17,3,6,9,X"
I-set,"10,12,15,18,3,4,5,6,8,9"
ig,"1,13,15,4,5,8"
Ig_3,"10,12,18,19,3,4,5,9"
PH,"1,14,19,20,4,5,X"
PHD,"1,10,11,12,14,4,5,7,8,X"
PK_Tyr_Ser-Thr,"1,10,12,13,15,17,19,2,20,3,4,5,6,7,8,9,X"
Pkinase,"1,10,12,13,14,15,16,17,19,2,22,3,5,6,7,8,9"
Pkinase_C,"1,13,14,16,19,6"
PWWP,"2,4,5,8,9"
Ras,"1,11,12,19,3,4,7"
RhoGAP,"14,19,22,3,5"
RhoGEF,"1,11,19,22,6,8"
RRM_1,"1,10,12,16,17,21,22,3,6,7,8,X"
SET,"1,11,12,3,4,5,7,8"
SH2,"1,12,15,16,17,19,20,4,5,8,9,X"
SH3_1,"1,10,19,20,3,4,5,8,9,X"
UCH,"12,15,16,17,X"
WD40,"11,16,2,3,4"
Y_phosphatase,"1,12,20,4,6,9"
zf-C2H2,"1,10,11,12,14,16,17,18,19,2,20,22,3,6,7,8,9"
zf-C2H2_6,"1,11,12,18,19,22,3,8"
zf-C4,"17,3,6,9,X"
Zn_ribbon_RanBP,"1,12,16,2,22,X"
